entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
Plastrance;TPE / PME;34111630900020;Verdissement;Modernisation de la filière automobile;HAUT-RHIN;Brunstatt;68350;47.7151300366, 7.32654596124;"Plastrance est une entreprise spécialisée dans les plastiques techniques, en particulier les vitrages en polycarbonate ultra-résistants et légers à destination des véhicules des forces de l’ordre, des pompiers et des véhicules de compétition. 
Le projet PLASTRANCE2028 doit permettre à l’entreprise d'intégrer une activité stratégique actuellement sous-traitée à l'étranger. Ce projet portera sur l'intégration d'une ligne de vernissage pour vitrage synthétique afin qu'il soit aussi dur que le verre minéral, résistant aux UV, résistant aux graffiti, anti-buée et plus léger.";Automobile;2022-02-03;Automobile;;68.0;GRAND EST
ISB FRANCE;ETI;323995357;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;CALVADOS;HONFLEUR;14600;49.4129449727, 0.237579361279;Modernisation de notre site de production de Nantes par l'installation d'une unité de découpe de panneaux de décoration à destination du grand public, une extension de notre capacité de production, une amélioration logistique, le tout couplé à une amélioration de notre système d'aspiration des copeaux nous permettant de faire une économie substantielle d'énergie et de valoriser les copeaux.;Projets territoriaux;2021-03-02;Bois;;14.0;NORMANDIE
SORIN CRM;GE;309786481;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;HAUTS-DE-SEINE;LOUVIERS;92140;48.7964306792, 2.25474652922;Le projet LINEA vise la création d’une ligne de fabrication hautement automatisée dans le cadre du développement d’une sonde de stimulation cardiaque miniaturisée. Cette création permettra de relocaliser la fabrication d’un sous-assemblage de sondes, actuellement fabriquées en République Dominicaine, sur le site de Clamart en France.Les sondes sont des éléments déterminants dans le choix des dispositifs implantables tels que les stimulateurs cardiaques. La sonde « 30M » se veut rassembler toutes les meilleures caractéristiques du marché en termes de miniaturisation et de performances, pour augmenter l’adoption des sondes MicroPort CRM et participer à la prise de part de marché en CRM dans tous les pays où l’entreprise est présente. En termes de quantités de sondes fabriquées, cela représenterait, à l’horizon 2030, 4 à 5 fois plus d’unités pour l’Europe par rapport à 2019, et 7 fois plus globalement. Le projet « LINEA » prévoit la relocalisation en France de la fabrication des composants les plus critiques du produit.;Relocalisation;2021-03-31;Santé;;92.0;ÎLE-DE-FRANCE
CLUFIX;TPE / PME;401733589;Verdissement;Modernisation de la filière automobile;HAUTE-SAVOIE;LIBOURNE;74300;46.078768, 6.566605;CLUFIX est une PME de 65 personnes spécialisée dans la conception, la fabrication et la commercialisation de composants d'assemblage techniques innovants pour l'automobile et l'industrie. Le projet vise à développer et à industrialiser une gamme de composants spécifiques destinés à la fixation de pièces plastiques dédiées aux nouvelles applications des véhicules électriques et hybrides.;Automobile;2021-02-10;Automobile;;74.0;AUVERGNE-RHÔNE-ALPES
MANUFACTURE CAOUTCHOUC FICHET SAS;TPE / PME;402211957;Verdissement;Modernisation de la filière automobile;ARDÈCHE;LES PONTS-DE-CÉ;7430;45.253466, 4.690473;"La manufacture de caoutchouc FICHET SAS est une PME ardéchoise de 47 personnes qui conçoit, fabrique et commercialise des dispositifs anti-projections pour le marché des poids lourds (Volvo, DAF, Man, Scania, Renault trucks ainsi que les remorques comme Lamberet, Chereau, etc.) en concurrence avec des acteurs européens (Allemagne, Italie ou Danemark) et Indiens. 
Deux produits sont actuellement fabriqués : Le Netway et le Netway DUO. Ces deux produits ont été brevetés et sont commercialisés par FICHET SAS et POLYRIM ; sociétés également implantées en Ardèche.  
Les parts de marché du Netway DUO progressent depuis 2012 et il convient d’une part d’augmenter et de moderniser l’outil de production (cellules robotisées) afin d’améliorer tant la productivité que la qualité.
L’utilisation de matière recyclée nécessite des plages de réglages importantes et une adaptation continue des moyens et des hommes pour produire ces pièces dans les objectifs de délais et de coûts. Cette évolution permettra de revoir le principe du thermoformage pour en améliorer la qualité et réduire le retrait. Il sera ainsi possible de diminuer les quantités des intrants et aussi de vendre ce produit pour le marché de la carrosserie industrielle.";Automobile;2021-02-10;Automobile;;7.0;AUVERGNE-RHÔNE-ALPES
;GE;;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;JURA;;;47.0377459686, 5.40319060267;;Relocalisation;2021-10-26;Intrants essentiels à l'industrie;;39.0;BOURGOGNE-FRANCHE-COMTÉ
PROBAYES;GE;45053883000073;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;ISÈRE;MONTBONNOT;38330;45.2173582887765, 5.807325982606598;"Orano valorise les matières nucléaires afin qu’elles contribuent au développement de la société en donnant toute sa valeur au nucléaire. Orano offre à ses clients des produits et des services performants sur l’ensemble du cycle du combustible nucléaire. Ses activités contribuent à la production d’une électricité bas carbone.
 
Créée en 2014, Aeraccess est une société spécialisée dans la conception et la réalisation de solutions de drones, pour le marché de la sécurité surveillance, capables de réaliser des missions dans un milieu hostile ou contraint, que ce soit en environnement intérieur et extérieur.
Créée fin 2016, Axionable est une jeune société innovante spécialisée dans l’intelligence artificielle (IA), son implémentation dans les entreprises et son utilisation à des fins durables et responsables avec un impact positif et mesurable pour leur activité et l’ensemble de la société.
Le Commissariat à l’énergie atomique et aux énergies alternatives (CEA), est un organisme public de recherche à caractère scientifique, technique et industriel. Acteur majeur de la recherche, du développement et de l’innovation, le CEA intervient dans quatre domaines : la défense et la sécurité, les énergies bas carbone (nucléaire, renouvelables), la recherche technologique pour l'industrie et la recherche fondamentale (sciences de la matière et de la vie).
Diotasoft conçoit et commercialise des solutions dédiées à l’optimisation des processus industriels via la digitalisation de leurs espaces opérateurs. Intégrant des technologies de pointe telles que la réalité augmentée, dont la société est le leader européen, et le contrôle automatique, ces solutions créent une continuité numérique entre les systèmes d’information industriels et les espaces opérationnels.
L'Ecole nationale supérieure des mines de Saint-Etienne (ENSMSE), membre de l’institut Mines-Telecom, par l’intermédiaire de son centre de recherches (SPIN), est un laboratoire de recherche public donc les objectifs sont de contribuer au développement économique, scientifique et technique des entreprises avec lesquelles elle collabore. Le centre SPIN est implanté à Saint-Etienne et est dédié à la recherche en génie des procédés et aux milieux granulaires.
La société Ob’dO propose ses prestations de service en système d’objets connectés pour les secteurs stratégiques déterminés par la Région Normandie, tels que les secteurs de l’énergie, de la sous-traitance automobile, de l’aéronautique et du sport de compétition connecté depuis 8 ans.
PREDICT, filiale du Groupe SNEF, apporte des solutions numériques pour une Industrie plus efficiente, plus sûre et plus propre. Depuis 1999, PREDICT met en œuvre et déploie à grande échelle ses solutions prédictives dans les domaines de l'énergie, du naval, de l'aéronautique, de l'industrie et de la défense.
Créée en 2003, Probayes est une entreprise spécialisée en data science et intelligence artificielle. L'entreprise est devenue une filiale du groupe La Poste en 2016, dont elle est désormais le centre d’intelligence artificielle.
Créée en 2016, Shark Robotics conçoit et fabrique, intégralement à La Rochelle, des robots haut de gamme conjuguant puissance, fiabilité et robustesse. Son objectif : éloigner l’Homme du risque. Shark Robotics propose à la fois des robots dits catalogue et des robots sur-mesure répondant aux besoins spécifiques de ses clients. Elle intervient notamment dans les domaines du nucléaire, de la sécurité, de la défense, de l’industrie et de l’énergie.
Spécialistes de robotique, vision et intelligence artificielle, Siléane construit des machines pour automatiser le geste en contexte aléatoire ou inconnu. Ses robots sont conçus pour gérer l’imprévisible. Dotés d'intelligence artificielle, ils s’adaptent en temps réel à des situations évolutives ou instables, là où la robotique traditionnelle et aveugle ne fonctionne plus.
L'Université Jean Monnet de Saint-Etienne (UJM) est une institution pluridisciplinaire qui joue un rôle clé dans la structuration de la vision et de la stratégie de recherche sur l'ensemble du territoire jusqu'à Lyon et sa banlieue. L'objectif de son Laboratoire Hubert Curien (LabHC) est de réaliser des ruptures technologiques dans le domaine des capteurs optiques pour répondre aux besoins de ses partenaires institutionnels ou industriels et à aider à maintenir l’excellence française et européenne sur cette thématique.
Le projet UDD@Orano (usines de demain sur les sites industriels d’Orano) a pour objectif d'accélérer l’avènement de l’industrie du futur dans les usines en exploitation et futures d’Orano, de diversifier les marchés des TPE et PME partenaires et de renforcer leur positionnement dans le nucléaire en développant des solutions technologiques en rupture (capteurs, algorithmes d’aide à la décision, plateformes de réalité mixte, outils robotiques qualifiés) sur des cas d’usages emblématiques aisément duplicables pour une dissémination et une fertilisation croisée au sein de la filière nucléaire et de l’industrie dans son ensemble.";Nucléaire;2021-10-28;Nucléaire;;38.0;AUVERGNE-RHÔNE-ALPES
INDRAÉRO SIREN SAS;ETI;815420344;Verdissement;Modernisation de la filière aéronautique;INDRE;LE PÊCHEREAU;36200;46.5845928645, 1.57047280121;"Créée en 1949, INDRAERO-SIREN est une ETI située dans l’Indre. Elle fabrique des pièces métalliques et sous-ensembles pour le secteur aéronautique et spatial dans le domaine du civil et de la défense. Elle est spécialisée dans la transformation, l’assemblage, la soudure, la peinture et le traitement de surface de pièces d’aérostructures. 
Le projet consiste à moderniser la chaîne de traitement de surface en remplaçant les traitements des pièces au chrome par des traitements sans chrome, plus respectueuse de l’environnement et de la santé des personnels. Ce projet permettra également d’intégrer le traitement des métaux durs. Cette modernisation permettra enfin d’augmenter la capacité de traitement et la compétitivité et de diversifier l’activité.";Aéronautique;2021-02-10;Aéronautique;;36.0;CENTRE-VAL DE LOIRE
BOCCARD;GE;95650125800019;Indépendance / Compétitivité;Renforcement des compétences;RHÔNE;VILLEURBANNE;69604;45.7807485907856, 4.884074869134304;"Depuis 1918, Boccard est un acteur majeur dans la conception et la réalisation d'installations industrielles. Ensemblier Industriel, Boccard offre des solutions digitales intégrées en engineering, manufacturing, construction et maintenance. Boccard œuvre dans l’optimisation des investissements de ses clients des marchés pétrole et gaz, nucléaire, énergie, sidérurgie et mine, brasserie, alimentation et ingrédients, cosmétiques hygiène, pharma et biotech.
Le projet ETSN by Boccard academy a pour objectif de garantir le niveau d’excellence des compétences tuyauterie - soudage dans le cadre d’un plan d’embauche soutenu. Boccard prévoie de former ses ressources internes préalablement à l’intégration de nouveaux collaborateurs. Ces embauches réalisées en dehors de la filière nucléaire lui permettront de renforcer le niveau de ressources de la filière et d’absorber un niveau d’activité plus important en maintenant le niveau d’excellence attendu.";Nucléaire - Compétences;2021-10-28;Nucléaire;;69.0;AUVERGNE-RHÔNE-ALPES
ISOLA COMPOSITE FRANCE;TPE / PME;536620040;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;TERRITOIRE DE BELFORT;Delle;90100;47.5085668053, 6.99653850498;Automatisation du chargement de la presse dédiée au secteur électronique, une rectifieuse, un système de chauffe ainsi que des systèmes d’étuvage et de robotisation afin d’améliorer la stabilité des matériaux.;Projets territoriaux;2022-01-27;Chimie et Matériaux;;90.0;BOURGOGNE-FRANCHE-COMTÉ
CURIUM;TPE / PME;398750653;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;AIN;SAINT-VULBAS;1150;45.828727892180254, 5.288998835348054;CURIUM est un acteur majeur de la gestion des risques environnementaux, intervenant sur des missions de décontamination, dépollution, radioprotection, lorsque plusieurs risques sont combinés. Le projet HIPeR veut répondre à deux enjeux stratégiques au travers d’une même infrastructure. Le premier enjeu concerne la relocalisation de la gestion du linge de la filière nucléaire via l’installation d’une blanchisserie : Elle permettra de décontaminer jusqu’à 30% du linge utilisé sur les sites nucléaires français et mettra en oeuvre à l’échelle industrielle un procédé innovant de traitement des effluents. Le second enjeu concerne le développement de modèles d’économie circulaire au sein de la filière via la proposition de prestation de requalification d’équipements contaminés, et le développement de procédés innovants au sein d’un hall modulable de propreté radiologique.;Nucléaire;2022-01-27;Nucléaire;;1.0;AUVERGNE-RHÔNE-ALPES
KEP TECHNOLOGIES;ETI;394148308;Verdissement;Modernisation de la filière aéronautique;MEURTHE-ET-MOSELLE;LAXOU;54520;48.6822062614, 6.11358630152;"Le groupe KEP Technologies, ETI familiale, propose une diversité de produits, 
de compétences et de solutions innovantes aux groupes de l’aéronautique et 
de l’espace, de l’industrie nucléaire et des énergies renouvelables, de la chimie, 
des industries alimentaires, de l’équipement médical ainsi qu’aux laboratoires 
de la recherche scientifique. 
Le projet consiste en le développement d’un Pôle Lorrain d’Excellence de 
traitements de surfaces et de peinture, à destination des marchés 
aéronautique, défense, ferroviaire, et des bornes de recharge pour véhicules 
électriques.";Aéronautique;2021-04-21;Aéronautique;;54.0;GRAND EST
CONFITURERIE ET CONFISERIE D'ANDRESY;TPE / PME;619804156;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;YVELINES;MAURECOURT;78780;48.998753885, 2.05297771853;Andrésy Confitures souhaite moderniser et digitaliser sa chaîne de production dans le but de gagner en productivité, augmenter le bien-être de ses salariés et réduire son impact sur l’environnement. L’intégration de nouveaux outils de production permettra non seulement de renforcer sa compétitivité sur le marché national et international, contribuer à la redynamisation du territoire à travers la préservation et la création d’emploi, mais aussi d’assurer la transition de l’entreprise vers l’industrie 4.0.;Projets territoriaux;2021-03-02;Agroalimentaire;;78.0;ÎLE-DE-FRANCE
F.D.L;TPE / PME;451264287;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIRET;NEUVILLE-AUX-BOIS;45170;48.06422163020155, 2.0638550821988253;Depuis 1927, la chocolaterie ALEX OLIVIER propose des recettes gourmandes au goût unique et authentique créées dans le respect du savoir-faire français. Spécialisée dans la confiserie de chocolat à caractère festif, l’entreprise s’est engagée depuis 2009 pour le respect de l’environnement avec le développement de gammes de chocolats bio et équitables. Le projet de la chocolaterie est d’aménager une nouvelle ligne de fabrication sur le site de Neuvilleaux- Bois afin de diversifier sa production de bonbons de chocolat et s'ouvrir à d'autres types de marchés mais aussi de renforcer et d’augmenter sa capacité de production en bio. Avec cet investissement, l’entreprise espère dépasser le niveau d’activité d’avant la crise sanitaire et pense pouvoir embaucher 5 à 10 salariés d’ici à 3 ans.;Projets territoriaux;2021-11-09;Agroalimentaire;;45.0;CENTRE-VAL DE LOIRE
SMG TOLERIE;TPE / PME;525620332;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;OISE;SAINT-PAUL;60650;49.41741660979237, 2.0028222172784176;"Faire de SMG Tôlerie, l'acteur majeur dans le domaine de la Tôlerie Industrielle en Haut de France :
- Projet Diversification: Bus (demain camion, etc ...) SMG a initié la fabrication d'enveloppes de batteries utilisées dans certains véhicules électriques industriels (Bus) pour 2 Majors dans la fabrication de Batteries: BlueSolution (groupe Boloré) et ForseePower (Fonds BPI investissements + Banque Européenne d’Investissement : https://www.lesechos.fr/pme-regions/centre-val-de-loire/forsee-power-recapitalise-pour-produire-plus-1013759
- Projet usine du futur et relocalisation d'activité: enjeu redevenir suffisamment compétitif pour relocaliser certains marchés partis en Turquie (Pour les pièces d’Agro-machinismes notamment)
Digitaliser les processus de production afin d’améliorer la compétitivité de l’outil industriel 
Avec l'objectif de Pérennisation des emplois - Recrutements et développement des compétences """;Projets territoriaux;2021-03-02;Mines et métallurgie;;60.0;HAUTS-DE-FRANCE
L&L PRODUCTS EUROPE SAS;ETI;409196821;Verdissement;Modernisation de la filière automobile;BAS-RHIN;AZAY-LE-RIDEAU;67129;48.5447196161, 7.4995001297;"Dans le secteur de l’automobile, L&L Products possède une expertise unique dans les domaines de l’étanchéité, de l’acoustique, de la réduction des vibrations, du renfort structural et des composites. 
L’objectif du projet est de produire sur leur site d’Altorf des nouvelles technologies de mousses, qui participent à l’allégement des véhicules (électriques, hybrides et thermiques) sans ou à très faible surcoût par rapport aux technologies traditionnelles, ainsi qu’au renforcement et à l’amélioration des performances thermiques de bacs batteries. Cette solution innovante contribue à la réduction d’émissions de gaz à effet de serre via la réduction de poids des structures et à l’amélioration des technologies électriques tout en prenant en compte la composante économique. Ce projet permettra également de produire des nouvelles lignes de produits sur le site d’Altorf, par conséquent d’accroitre et de diversifier l’activité du site.";Automobile;2021-02-10;Automobile;;67.0;GRAND EST
FEMU BIO;TPE / PME;852640945;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;HAUTE-CORSE;Penta-di-Casinca;20213;42.4548433729, 9.49604243043;0;Projets territoriaux;2022-03-31;Agroalimentaire;;;CORSE
AQUILA DATA ENABLER;TPE / PME;479985996;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;HAUTS-DE-SEINE;CHÂTEAU-RENAULT;92400;48.89197394130949, 2.2519306976161313;Aquila Data Enabler est une société de conseil experte en data science et dans le développement d’algorithmes et d’outils d’intelligence artificielle.;Nucléaire;2021-07-27;Nucléaire;;92.0;ÎLE-DE-FRANCE
AGUILA TECHNOLOGIE;TPE / PME;514105261;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PYRÉNÉES-ATLANTIQUES;BIDART;64210;43.4380521764, -1.58002714725;AGUILA a conçu un marteau électronique d’urgence dédié à équiper les bus et autocars d’Europe. Cette innovation a reçu le Prix Innovation Sécurité Routière 2020. Une évolution réglementaire, sous l’égide de l’ONU, est en cours afin de rendre obligatoire ce type de dispositif. AGUILA s’est engagée dans un important programme pour le lancement d’une nouvelle unité de production industrielle à Bidart. Un bâtiment dédié est en cours de construction. Notre programme prévoit l’industrialisation, l’homologation et l’installation de cette nouvelle unité industrielle.;Projets territoriaux;2021-03-02;Automobile;;64.0;NOUVELLE-AQUITAINE
BIOPROX SAS;ETI;622024180;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;MAINE-ET-LOIRE;ROMORANTIN-LANTHENAY;49490;47.5070164198, 0.109706678066;"BIOPROX est un spécialiste de la production de ferments lactiques lyophilisés (ferments acidifiants, aromatisants et de bioprotection) pour la fabrication des produits laitiers (yaourts, laits fermentés, fromages) ainsi que pour les fermentations végétales (base vegan) et de cultures probiotiques destinées au marché des compléments alimentaires et aliments fonctionnels. 
L’entreprise souhaite aujourd’hui moderniser son outil de production pour passer à un mode de fermentation ayant une productivité et un impact environnemental plus performants que la moyenne du marché. Ce projet permettra également de développer le format « lyophilisé », ayant de meilleures performances énergétiques, pour la commercialisation des ferments lactiques et souches probiotiques en France et dans le monde entier.";Relocalisation;2021-04-21;Agroalimentaire;;49.0;PAYS DE LA LOIRE
CONSTELLIUM CRV;GE;348366410;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;ISÈRE;VOREPPE;38340;45.290046149, 5.64284060664;C-TEC, Constellium Technology Center, est une entreprise spécialisée dans le développement d’alliages d’aluminium et de solutions à forte valeur ajoutée pour les secteurs de l’aéronautique, de l’automobile et de l’emballage. L’entreprise souhaite faire de sa fonderie expérimentale un démonstrateur pour nouvelle technologie de refusion du métal et une nouvelle technologie de coulée. L’objectif est de réduire de plus de 90 % l’empreinte carbone d’une fonderie d’aluminium tout en augmentant le contenu recyclé des produits fabriqués. Les technologies développées seront ensuite déployées dans les usines du groupe Constellium.;Relocalisation;2021-10-26;Intrants essentiels à l'industrie;;38.0;AUVERGNE-RHÔNE-ALPES
APPAOO;TPE / PME;37849199700011;Verdissement;Modernisation de la filière aéronautique;LOIR-ET-CHER;MENARS;41500;47.6472843948, 1.3998472166;"APPAOO est un acteur spécialisé dans la fabrication de pièces mécaniques, de tuyauterie et d’ensembles mécano-soudés pour l’aéronautique. 
Le projet doit permettre à l’entreprise de digitaliser son outil de production dans ces 2 domaines et d’acquérir de nouveaux outils d’impression 3D, en vue de se diversifier vers de nouveaux marchés, médical, ferroviaire ou nucléaire .";Aéronautique;2021-11-02;Aéronautique;;41.0;CENTRE-VAL DE LOIRE
PORCHER INDUSTRIES;ETI;553620022;Verdissement;Modernisation de la filière automobile;PYRÉNÉES-ATLANTIQUES;CHÂTEAUNEUF-LES-MARTIGUES;64000;43.19758829855817, -0.6121493812231154;"La filiale du Groupe français Porcher Industries, NCV, est une PMI située dans le département de l’Isère à La Tour du Pin qui conçoit et fabrique des tissus Airbags pour les marchés Automobiles et divers tissus techniques pour les marchés du Sport (Leader mondial des tissus parapentes…).
En 2019, le Groupe Porcher Industries,  ETI de 1960 salariés, dont 770 en France, a réalisé un CA de l’ordre de 300 millions d’euros dont 95% à l’export et plus de 30% dans le secteur Automobile.
La situation sanitaire et l’impact majeur sur le marché automobile impose à NCV d’améliorer drastiquement sa compétitivité sur le segment des airbags.  Cette évolution passe par une modernisation des outils de fabrication, tout en augmentant la capacité actuelle de production. L’investissement envisagé devait permettre une consolidation des parts de marché en Europe, de suivre la future croissance et d’améliorer les performances environnementales du site.
Le projet tel que défini initialement permettait,  de réaliser un CA additionnel de plus de 15 millions d’euros à 2025, de générer jusqu' à 25 emplois directs sur le site de la Tour Du Pin et de protéger les 150 emplois actuels.";Automobile;2021-02-10;Automobile;;64.0;NOUVELLE-AQUITAINE
SUD DECOUPE INDUSTRIE;TPE / PME;499214195;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;AVEYRON;Onet-le-Château;12850;44.3825530939, 2.56000835023;0;Projets territoriaux;2022-03-31;Mines et métallurgie;;12.0;OCCITANIE
CATIDOM SAS;TPE / PME;301857942;Verdissement;Modernisation de la filière automobile;HAUTE-SAVOIE;SEYNOD;74600;45.88843567291504, 6.078443989549506;L'entreprise CATIDOM est spécialisée dans la transformation de pièces en aluminium par procédé d’anodisation. L’anodisation dure consiste à transformer superficiellement l’aluminium pour augmenter sa résistance à l’usure, à l’abrasion et à la corrosion, tout en lui conférant une grande isolation électrique. En plus de l’automobile, l'entreprise adresse également les marchés du sport, du luxe et de la cosmétique. Le projet ANOLED vise à construire une nouvelle chaine de production automatisée. L'entreprise souhaite à travers ce projet moderniser son outil de production et également se diversifier en visant le marché des pièces de support pour les phares de type LED.;Automobile;2021-06-24;Automobile;;74.0;AUVERGNE-RHÔNE-ALPES
FONDERIE LORRAINE SAS;ETI;40339674000017;Verdissement;Modernisation de la filière automobile;MOSELLE;Grosbliederstroff;57214;49.1552146769, 7.02220762018;"L’action mutualisée portée par le Groupe SAB - Financière d'Azolette, associe 5 industriels leaders du secteur (SAB, Saint-Jean Industrie, Eurocast, Fonderie Lorraine, ID-Casting ) et 2 Centres techniques industriels (CETIM & CTIF) pour accélérer les mutations sur 3 axes majeurs : l’intégration de la Fabrication Additive dans les chaînes de production (outillages), l’exploitation des data au sein d’ateliers industriels encore peu connectés, et la mise en place d’outils inédits de pilotage et d’aide à la décision visant la réduction de l’empreinte CO2 de la chaîne de valeur complète du secteur (maîtrise des influents process / Recyclage des matières / ACV et Empreinte CO2).
Le projet DECISIFF a pour ambition un accompagnement sur 3 ans de la transformation des entreprises de fonderie en France, qui sera initiée ici en 1ère priorité sur le secteur automobile. Ce projet répond à un besoin urgent d’action concrète sur le secteur pour transformer les fonderies automobiles et les positionner sans délai sur de nouveaux marchés pour anticiper la conception des véhicules à horizon 2025.";Automobile;2022-02-03;Automobile;;57.0;GRAND EST
H2SYS;TPE / PME;831801840;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;TERRITOIRE DE BELFORT;BELFORT;90000;47.641796880956264, 6.845310734278439;L'objectif de ce projet est d'industrialiser la gamme de générateur zéro Emission à hydrogène Boxhy  d'H2SYS, dans des nouveaux locaux sur le site industriel du Tech'hom. Le bâtiment à été identifié avec TANDEM, il nécessite des investissements pour la ligne de production du générateur BOXHY. Ces investissements sont de trois ordres, mise aux normes du bâtiment pour l'utilisation des technologies H2, investissement dans des postes de stockage, de  production et de manutention pour augmenter la production, et troisièmement machines et équipements de tests pour les test fin de fabrication.;Projets territoriaux;2021-03-02;Nouveaux systèmes énergétiques;;90.0;BOURGOGNE-FRANCHE-COMTÉ
SERAC;ETI;340321801;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;SARTHE;LA BOSSE;72040;48.1635194155, 0.546593401051;SERAC est spécialisée dans la conception et la fabrication de machines de remplissage de liquides alimentaires et non-alimentaires (75% CA à l’export). Elle porte ce projet de construction d’un centre d’innovation, digitalisation, industrialisation. 12 créations d’emplois.;Projets territoriaux;2021-08-31;Agroalimentaire;;72.0;PAYS DE LA LOIRE
APERAM STAINLESS FRANCE;GE;501651616;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PAS-DE-CALAIS;ISBERGUES;62330;50.6163010723, 2.45566347831;Détenu à 40 % par la famille Mittal, le groupe Aperam est un acteur mondial du secteur de l’acier inoxydable, de l’acier électrique et des aciers spéciaux. Il exerce ses activités dans plus de quarante pays avec une capacité de production de l’ordre de deux millions et demi de tonnes d’acier inoxydable par an. Il est également leader sur des créneaux à forte valeur ajoutée comme les alliages et les aciers spéciaux. Afin de faire face à la concurrence, le projet d’Aperam s’engage dans une démarche « d’industrie du futur » sur son site d’Isbergue. Cela passe par la modernisation et l’automatisation de l’outil de production ainsi que le développement de la robotisation. Les objectifs sont l’amélioration de la productivité, la diminution des incidents de production, la réduction des opérations de maintenance des opérateurs et la stabilité du fonctionnement de l’appareil industriel. Le projet permettra la création de quatre emplois, en plus du maintien des mille deux-cents cinquante postes existants.;Projets territoriaux;2021-08-31;Mines et métallurgie;;62.0;HAUTS-DE-FRANCE
CHARPENTE BOIS EVOLUTIVE;TPE / PME;388181232;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;GUYANE;REMIRE-MONTJOLY;97354;4.88437128593, -52.2788402688;;Projets territoriaux;2021-08-31;Bois;;973.0;GUYANE
TIPIAK EPICERIE;ETI;343334488;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIRE-ATLANTIQUE;SAINT-AIGNAN-GRANDLIEU;44960;47.15369157762197, -1.5975871281530325;TIPIAK EPICERIE est le pôle d’activités du groupe TIPIAK SA spécialisé dans la production, le conditionnement et la distribution de produits d’épicerie à base de produits céréaliers. Elle porte ce projet capacitaire et d’investissements industriels. 7 créations emplois.;Projets territoriaux;2021-09-30;Agroalimentaire;;44.0;PAYS DE LA LOIRE
A2M INDUSTRIE;TPE / PME;394940175;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;LOIRE;FRAISSES;42490;45.3843710509, 4.26046841789;A2M Industrie est un laboratoire indépendant qui offre une plateforme d’essais et de caractérisations des matériaux avancés. Les capacités du laboratoire permettent de venir en appuis des grands donneurs d’ordre des filières nucléaires, aéronautiques et de la défense. Le projet A2MI-NUCLEAIRE a pour but de moderniser les outils de production et de continuer la transformation numérique des équipements afn d'améliorer  la compétitivité de l'entreprise. L'objectif du projet est de répondre aux besoins du tissu industriel de la région Auvergne-Rhône-Alpes et principalement aux acteurs des industries nucléaires pour améliorer la réactivité de l'entreprise tout en s'adaptant à des procédures qualité toujours plus pointues.;Nucléaire;2022-01-27;Nucléaire;;42.0;AUVERGNE-RHÔNE-ALPES
Polyrepro;TPE / PME;68200702600060;Verdissement;Modernisation de la filière aéronautique;HAUTS-DE-SEINE;SEVRES;92310;48.821476509, 2.21052297438;Polyrepro est spécialisée dans la fabrication 3D. Le projet vise à augmenter les capacités de production en impression 3D pour la filière aéronautique. Pour cela, l'entreprise souhaite se doter de deux lignes de production en impression 3D par frittage laser de poudre polymère (demandes récurrentes des clients).;Aéronautique;2021-11-02;Aéronautique;;92.0;ÎLE-DE-FRANCE
TOUTENKAMION;TPE / PME;836150292;Verdissement;Modernisation de la filière automobile;LOIRET;LADON;45270;48.0095614328, 2.52562698613;"Industriel de la mobilité, Toutenkamion Group est leader européen en 
transformation de cabines poids lourds et en conception et fabrication 
d'unités mobiles, réalisées sur mesure à l'unité ou en série sur camions porteurs, 
semi-remorques, conteneurs ou shelters. 
Le projet vise à réorganiser et à spécialiser les sites de production du groupe 
afin d’optimiser leur utilisation et ainsi gagner en productivité. La 
modernisation des outils de production permettra de fabriquer un plus grand 
nombre de petites et moyennes carrosseries et ainsi de diversifier l’activité en 
se tournant vers les véhicules utilitaires légers.";Automobile;2021-04-21;Automobile;;45.0;CENTRE-VAL DE LOIRE
